device_id,device_model,category,gold_g,copper_g,lithium_g,confidence,total_value_estimate,timestamp,region
DEV-000033,MacBook Pro 13,laptop,0.307,55.615,62.511,0.94,956.64,2026-04-09T13:06:58.939335,Pune
DEV-000034,ThinkPad T480,laptop,0.1692,36.679,48.097,0.98,731.97,2026-04-09T13:06:58.939353,Kolkata
DEV-000035,MacBook Air M1,laptop,0.3491,72.771,68.811,0.83,1053.84,2026-04-09T13:06:58.939372,Kolkata
DEV-000036,Sony WH-1000XM4,headphones,0.0121,3.712,0.9,0.93,14.26,2026-04-09T13:06:58.939391,Kolkata
DEV-000037,Sony WH-1000XM4,headphones,0.0138,2.072,1.061,0.86,16.76,2026-04-09T13:06:58.939410,Chennai
DEV-000038,Google Pixel 7,smartphone,0.0301,8.755,3.559,0.96,55.28,2026-04-09T13:06:58.939429,Chennai
DEV-000039,iPhone 13,smartphone,0.0303,12.586,4.492,0.85,69.32,2026-04-09T13:06:58.939449,Kolkata
DEV-000040,MacBook Air M1,laptop,0.3346,60.747,64.612,0.85,989.86,2026-04-09T13:06:58.939467,Hyderabad
DEV-000041,Sony WH-1000XM4,headphones,0.0066,4.978,1.013,0.96,15.64,2026-04-09T13:06:58.939486,Ahmedabad
DEV-000042,Google Pixel 7,smartphone,0.0203,11.418,3.727,0.84,57.24,2026-04-09T13:06:58.939504,Mumbai
DEV-000043,Samsung Galaxy Tab S7,tablet,0.1156,18.054,32.335,0.97,492.14,2026-04-09T13:06:58.939523,Chennai
DEV-000044,MacBook Pro 13,laptop,0.2957,52.761,55.521,0.97,851.08,2026-04-09T13:06:58.939541,Hyderabad
DEV-000045,MacBook Pro 13,laptop,0.3632,53.005,60.3,0.93,926.82,2026-04-09T13:06:58.939559,Kolkata
DEV-000046,iPhone 12,smartphone,0.0292,10.455,3.945,0.87,61.03,2026-04-09T13:06:58.939578,Hyderabad
DEV-000047,iPad Pro 11,tablet,0.1956,19.604,33.894,0.83,520.34,2026-04-09T13:06:58.939596,Ahmedabad
DEV-000048,iPhone 13,smartphone,0.0433,9.33,4.209,0.91,65.83,2026-04-09T13:06:58.939614,Hyderabad
DEV-000049,Samsung Galaxy S22,smartphone,0.029,11.812,5.117,0.95,78.61,2026-04-09T13:06:58.939632,Hyderabad
DEV-000050,Samsung Galaxy Tab S7,tablet,0.143,23.359,29.964,0.97,458.27,2026-04-09T13:06:58.939650,Chennai
DEV-000051,MacBook Air M1,laptop,0.2367,62.438,52.155,0.97,797.15,2026-04-09T13:06:58.939668,Chennai
DEV-000052,ThinkPad T500,laptop,0.368,60.596,54.012,0.84,832.87,2026-04-09T13:06:58.939687,Pune
DEV-000053,iPhone 12,smartphone,0.0269,10.776,3.656,0.98,56.56,2026-04-09T13:06:58.939705,Hyderabad
DEV-000054,AirPods Pro,earbuds,0.0057,1.307,0.646,0.9,10.05,2026-04-09T13:06:58.939726,Pune
DEV-000055,iPad Air,tablet,0.0963,22.67,31.219,0.84,474.29,2026-04-09T13:06:58.939745,Kolkata
DEV-000056,Fitbit Charge 5,wearable,0.002,0.475,0.112,0.85,1.8,2026-04-09T13:06:58.939763,Pune
DEV-000057,Samsung Galaxy S21,smartphone,0.0298,12.386,3.62,0.97,56.21,2026-04-09T13:06:58.939782,Kolkata
DEV-000058,Dell XPS 13,laptop,0.2356,48.896,40.576,0.93,623.26,2026-04-09T13:06:58.939801,Bangalore
DEV-000059,ThinkPad T490,laptop,0.2325,51.977,43.133,0.88,661.46,2026-04-09T13:06:58.939842,Bangalore
DEV-000060,Fitbit Charge 5,wearable,0.0012,0.458,0.242,0.92,3.71,2026-04-09T13:06:58.939862,Delhi
DEV-000061,Sony A7IV,camera,0.1861,26.652,30.349,0.89,466.67,2026-04-09T13:06:58.939880,Ahmedabad
DEV-000062,Fitbit Charge 5,wearable,0.0008,0.429,0.171,0.89,2.62,2026-04-09T13:06:58.939899,Kolkata
DEV-000063,Fitbit Charge 5,wearable,0.0006,0.351,0.205,0.84,3.11,2026-04-09T13:06:58.939920,Hyderabad
DEV-000064,Fitbit Charge 5,wearable,0.0026,0.34,0.261,0.99,4.07,2026-04-09T13:06:58.939938,Hyderabad
DEV-000065,Canon EOS R5,camera,0.0817,23.099,22.508,0.88,342.75,2026-04-09T13:06:58.939959,Pune
DEV-000066,Fitbit Charge 5,wearable,0.0022,0.291,0.217,0.93,3.39,2026-04-09T13:06:58.939978,Kolkata
DEV-000067,Sony WH-1000XM4,headphones,0.0053,3.184,1.381,0.88,21.06,2026-04-09T13:06:58.939997,Bangalore
DEV-000068,iPhone 13,smartphone,0.0474,15.262,4.11,0.94,64.65,2026-04-09T13:06:58.940015,Pune
DEV-000069,Samsung Galaxy S21,smartphone,0.0387,10.236,3.711,0.85,58.09,2026-04-09T13:06:58.940033,Ahmedabad
DEV-000070,Samsung Galaxy S21,smartphone,0.023,12.036,4.589,0.89,70.34,2026-04-09T13:06:58.940051,Kolkata
DEV-000071,Google Pixel 7,smartphone,0.0238,11.833,4.699,0.98,72.03,2026-04-09T13:06:58.940069,Kolkata
DEV-000072,ThinkPad T480,laptop,0.333,47.356,47.313,0.89,730.15,2026-04-09T13:06:58.940087,Hyderabad
DEV-000073,Canon EOS R5,camera,0.1489,33.482,15.064,0.96,235.23,2026-04-09T13:06:58.940105,Pune
DEV-000074,Sony WH-1000XM4,headphones,0.0096,5.88,1.001,0.92,15.65,2026-04-09T13:06:58.940122,Chennai
DEV-000075,Samsung Galaxy S22,smartphone,0.0329,8.192,4.169,0.94,64.59,2026-04-09T13:06:58.940140,Bangalore
DEV-000076,AirPods Pro,earbuds,0.0056,1.32,0.663,0.83,10.29,2026-04-09T13:06:58.940158,Hyderabad
DEV-000077,Dell XPS 13,laptop,0.1549,43.624,49.146,0.97,746.92,2026-04-09T13:06:58.940178,Pune
DEV-000078,AirPods Pro,earbuds,0.0053,1.001,0.545,0.95,8.5,2026-04-09T13:06:58.940196,Kolkata
DEV-000079,OnePlus 10,smartphone,0.0307,9.151,3.693,0.85,57.33,2026-04-09T13:06:58.940214,Mumbai
DEV-000080,AirPods Pro,earbuds,0.0054,0.801,0.632,0.95,9.81,2026-04-09T13:06:58.940232,Ahmedabad
DEV-000081,Google Pixel 6,smartphone,0.0216,9.923,4.246,0.95,65.09,2026-04-09T13:06:58.940266,Chennai
DEV-000082,AirPods Pro,earbuds,0.0067,0.939,0.797,0.89,12.37,2026-04-09T13:06:58.940285,Hyderabad
DEV-000083,iPhone 13,smartphone,0.049,15.364,4.111,0.96,64.76,2026-04-09T13:06:58.940303,Ahmedabad
DEV-000084,MacBook Pro 13,laptop,0.3342,60.141,60.799,0.85,932.64,2026-04-09T13:06:58.940321,Bangalore
DEV-000085,Canon EOS R5,camera,0.1362,37.731,21.91,0.95,337.2,2026-04-09T13:06:58.940340,Kolkata
DEV-000086,Fitbit Charge 5,wearable,0.0012,0.107,0.15,0.98,2.32,2026-04-09T13:06:58.940358,Kolkata
DEV-000087,Sony A7IV,camera,0.1844,28.899,19.127,0.9,298.26,2026-04-09T13:06:58.940377,Mumbai
DEV-000088,iPad Air,tablet,0.1219,16.005,37.813,0.93,574.67,2026-04-09T13:06:58.940395,Chennai
DEV-000089,Dell XPS 13,laptop,0.1743,38.836,52.578,0.88,799.52,2026-04-09T13:06:58.940413,Chennai
DEV-000090,Dell XPS 13,laptop,0.1661,38.759,39.508,0.92,602.97,2026-04-09T13:06:58.940430,Mumbai
DEV-000091,Google Pixel 7,smartphone,0.0341,8.03,4.187,0.96,64.93,2026-04-09T13:06:58.940449,Hyderabad
DEV-000092,Google Pixel 6,smartphone,0.0236,9.296,4.164,0.98,63.97,2026-04-09T13:06:58.940467,Delhi
DEV-000093,MacBook Air M1,laptop,0.2337,62.578,64.409,0.85,980.78,2026-04-09T13:06:58.940484,Pune
DEV-000094,Samsung Galaxy S21,smartphone,0.0209,12.88,4.495,0.88,68.81,2026-04-09T13:06:58.940502,Bangalore
DEV-000095,Apple Watch Series 7,wearable,0.0019,0.97,0.254,0.89,3.93,2026-04-09T13:06:58.940535,Bangalore
DEV-000096,ThinkPad T490,laptop,0.3703,55.649,47.235,0.85,731.3,2026-04-09T13:06:58.940556,Hyderabad
DEV-000097,iPhone 12,smartphone,0.0267,8.656,3.464,0.93,53.65,2026-04-09T13:06:58.940574,Ahmedabad
DEV-000098,Samsung Galaxy S22,smartphone,0.0398,9.782,4.335,0.93,67.51,2026-04-09T13:06:58.940592,Chennai
DEV-000099,Samsung Galaxy S21,smartphone,0.0393,10.373,4.012,0.88,62.64,2026-04-09T13:06:58.940610,Delhi
DEV-000100,Canon EOS R5,camera,0.1396,36.652,24.111,0.94,370.41,2026-04-09T13:06:58.940628,Ahmedabad
DEV-000101,Dell XPS 13,laptop,0.2209,38.074,42.136,0.88,645.67,2026-04-09T13:06:58.940646,Kolkata
DEV-000102,Fitbit Charge 5,wearable,0.0009,0.424,0.287,0.92,4.36,2026-04-09T13:06:58.940664,Ahmedabad
DEV-000103,iPad Pro 11,tablet,0.135,28.641,35.917,0.98,547.14,2026-04-09T13:06:58.940682,Delhi
DEV-000104,Google Pixel 6,smartphone,0.0198,10.345,3.591,0.86,55.16,2026-04-09T13:06:58.940700,Ahmedabad
DEV-000105,Samsung Galaxy S22,smartphone,0.0363,14.143,4.772,0.84,73.9,2026-04-09T13:06:58.940719,Mumbai
DEV-000106,ThinkPad T490,laptop,0.2177,44.786,59.221,0.87,901.82,2026-04-09T13:06:58.940737,Delhi
DEV-000107,Google Pixel 7,smartphone,0.0348,10.414,4.789,0.91,74.03,2026-04-09T13:06:58.940755,Mumbai
DEV-000108,OnePlus 10,smartphone,0.0269,9.379,4.572,0.84,70.29,2026-04-09T13:06:58.940772,Ahmedabad
DEV-000109,iPhone 13,smartphone,0.0304,14.355,4.165,0.87,64.44,2026-04-09T13:06:58.940793,Pune
DEV-000110,iPad Air,tablet,0.0943,17.178,38.769,0.96,587.36,2026-04-09T13:06:58.940810,Hyderabad
DEV-000111,AirPods Pro,earbuds,0.0043,1.159,0.507,0.96,7.87,2026-04-09T13:06:58.940851,Mumbai
DEV-000112,Samsung Galaxy S22,smartphone,0.0262,11.422,4.078,0.86,62.86,2026-04-09T13:06:58.940870,Delhi
DEV-000113,HP Pavilion 15,laptop,0.2527,45.523,46.073,0.82,706.71,2026-04-09T13:06:58.940888,Chennai
DEV-000114,ThinkPad T480,laptop,0.2971,50.077,53.089,0.86,814.66,2026-04-09T13:06:58.940906,Mumbai
DEV-000115,Sony WH-1000XM4,headphones,0.0051,5.557,1.496,0.83,22.8,2026-04-09T13:06:58.940924,Mumbai
DEV-000116,Fitbit Charge 5,wearable,0.0017,0.252,0.248,0.92,3.82,2026-04-09T13:06:58.940941,Ahmedabad
DEV-000117,Dell XPS 13,laptop,0.2051,34.24,42.143,0.83,644.79,2026-04-09T13:06:58.940960,Chennai
DEV-000118,iPhone 14,smartphone,0.0406,14.982,4.56,0.92,70.99,2026-04-09T13:06:58.940978,Pune
DEV-000119,MacBook Pro 13,laptop,0.3927,52.424,60.034,0.83,924.6,2026-04-09T13:06:58.940996,Delhi
DEV-000120,Samsung Galaxy Tab S7,tablet,0.1238,14.802,25.183,0.83,385.32,2026-04-09T13:06:58.941013,Kolkata
DEV-000121,Google Pixel 6,smartphone,0.0211,11.347,3.558,0.89,54.75,2026-04-09T13:06:58.941033,Pune
DEV-000122,HP Pavilion 15,laptop,0.1932,58.464,35.248,0.86,540.9,2026-04-09T13:06:58.941051,Delhi
DEV-000123,Sony WH-1000XM4,headphones,0.0071,3.36,1.232,0.83,18.94,2026-04-09T13:06:58.941068,Pune
DEV-000124,MacBook Pro 13,laptop,0.3296,63.538,56.915,0.9,874.14,2026-04-09T13:06:58.941086,Mumbai
DEV-000125,HP Pavilion 15,laptop,0.1708,43.664,38.898,0.87,594.15,2026-04-09T13:06:58.941106,Ahmedabad
DEV-000126,OnePlus 10,smartphone,0.0282,9.831,4.725,0.87,72.67,2026-04-09T13:06:58.941124,Hyderabad
DEV-000127,MacBook Air M1,laptop,0.3026,70.221,52.88,0.86,812.06,2026-04-09T13:06:58.941142,Pune
DEV-000128,MacBook Air M1,laptop,0.2895,70.278,55.647,0.88,852.78,2026-04-09T13:06:58.941160,Kolkata
DEV-000129,Samsung Galaxy S22,smartphone,0.0305,11.718,4.5,0.9,69.45,2026-04-09T13:06:58.941178,Mumbai
DEV-000130,Dell XPS 13,laptop,0.3278,59.688,53.666,0.96,825.25,2026-04-09T13:06:58.941197,Mumbai
DEV-000131,iPhone 12,smartphone,0.036,8.846,3.031,0.9,47.71,2026-04-09T13:06:58.941215,Ahmedabad
DEV-000132,iPad Pro 11,tablet,0.1199,28.664,30.683,0.87,467.73,2026-04-09T13:06:58.941233,Hyderabad
DEV-000133,MacBook Pro 13,laptop,0.4139,52.822,68.518,0.88,1053.13,2026-04-09T13:06:58.941251,Hyderabad
DEV-000134,iPhone 14,smartphone,0.0481,14.44,4.675,0.9,73.16,2026-04-09T13:06:58.941269,Pune
DEV-000135,Samsung Galaxy S21,smartphone,0.0228,12.21,3.878,0.83,59.66,2026-04-09T13:06:58.941286,Ahmedabad
DEV-000136,iPhone 13,smartphone,0.034,12.995,4.457,0.98,69.02,2026-04-09T13:06:58.941305,Pune
DEV-000137,Google Pixel 6,smartphone,0.0358,9.325,3.444,0.85,53.9,2026-04-09T13:06:58.941323,Hyderabad
DEV-000138,Sony WH-1000XM4,headphones,0.0075,3.702,1.222,0.97,18.82,2026-04-09T13:06:58.941340,Pune
DEV-000139,MacBook Pro 13,laptop,0.4242,74.538,74.258,0.89,1140.07,2026-04-09T13:06:58.941358,Pune
DEV-000140,ThinkPad T500,laptop,0.2076,59.052,56.63,0.93,862.5,2026-04-09T13:06:58.941375,Hyderabad
DEV-000141,Apple Watch Series 7,wearable,0.0038,0.762,0.541,0.98,8.35,2026-04-09T13:06:58.941394,Ahmedabad
DEV-000142,iPhone 13,smartphone,0.036,15.918,4.405,0.96,68.39,2026-04-09T13:06:58.941413,Mumbai
DEV-000143,iPhone 14,smartphone,0.0511,16.945,3.537,0.85,56.29,2026-04-09T13:06:58.941431,Bangalore
DEV-000144,Google Pixel 6,smartphone,0.0338,9.095,4.43,0.84,68.57,2026-04-09T13:06:58.941448,Mumbai
DEV-000145,Fitbit Charge 5,wearable,0.0026,0.492,0.281,0.94,4.38,2026-04-09T13:06:58.941466,Mumbai
DEV-000146,Google Pixel 6,smartphone,0.0216,11.992,4.179,0.97,64.1,2026-04-09T13:06:58.941484,Mumbai
DEV-000147,Fitbit Charge 5,wearable,0.0015,0.248,0.3,0.95,4.59,2026-04-09T13:06:58.941502,Bangalore
DEV-000148,MacBook Pro 13,laptop,0.3687,50.773,66.368,0.97,1018.15,2026-04-09T13:06:58.941521,Bangalore
DEV-000149,Dell XPS 13,laptop,0.269,37.531,49.234,0.92,755.03,2026-04-09T13:06:58.941539,Chennai
DEV-000150,MacBook Air M1,laptop,0.2867,48.929,60.42,0.87,923.99,2026-04-09T13:06:58.941557,Delhi
DEV-000151,Fitbit Charge 5,wearable,0.0026,0.436,0.125,0.97,2.04,2026-04-09T13:06:58.941574,Kolkata
DEV-000152,ThinkPad T490,laptop,0.3465,42.184,52.159,0.9,803.6,2026-04-09T13:06:58.941593,Kolkata
DEV-000153,iPhone 14,smartphone,0.0355,13.207,4.562,0.91,70.69,2026-04-09T13:06:58.941610,Pune
DEV-000154,OnePlus 10,smartphone,0.0219,7.872,4.179,0.98,64.08,2026-04-09T13:06:58.941628,Hyderabad
DEV-000155,MacBook Air M1,laptop,0.3511,49.017,54.458,0.84,838.43,2026-04-09T13:06:58.941647,Mumbai
DEV-000156,Dell XPS 13,laptop,0.1762,36.524,40.447,0.87,617.64,2026-04-09T13:06:58.941664,Pune
DEV-000157,ThinkPad T500,laptop,0.3759,63.193,54.409,0.99,839.32,2026-04-09T13:06:58.941682,Hyderabad
DEV-000158,Sony A7IV,camera,0.1534,22.593,30.353,0.96,464.72,2026-04-09T13:06:58.941701,Pune
DEV-000159,Fitbit Charge 5,wearable,0.0026,0.366,0.187,0.99,2.96,2026-04-09T13:06:58.941719,Kolkata
DEV-000160,Google Pixel 6,smartphone,0.0294,8.91,3.186,0.9,49.64,2026-04-09T13:06:58.941737,Pune
DEV-000161,Dell XPS 13,laptop,0.3084,53.759,45.204,0.93,697.1,2026-04-09T13:06:58.941755,Kolkata
DEV-000162,iPad Air,tablet,0.1259,16.378,29.671,0.89,452.78,2026-04-09T13:06:58.941772,Pune
DEV-000163,OnePlus 10,smartphone,0.0164,9.398,3.903,0.96,59.62,2026-04-09T13:06:58.941798,Chennai
DEV-000164,iPhone 12,smartphone,0.0306,9.566,2.916,0.96,45.67,2026-04-09T13:06:58.941837,Hyderabad
DEV-000165,Fitbit Charge 5,wearable,0.0012,0.37,0.258,0.99,3.95,2026-04-09T13:06:58.941857,Bangalore
DEV-000166,Samsung Galaxy S21,smartphone,0.0211,12.891,4.446,0.93,68.08,2026-04-09T13:06:58.941876,Bangalore
DEV-000167,iPad Pro 11,tablet,0.1015,23.379,28.336,0.96,431.36,2026-04-09T13:06:58.941894,Mumbai
DEV-000168,ThinkPad T480,laptop,0.3321,49.536,37.756,0.96,586.76,2026-04-09T13:06:58.941912,Chennai
DEV-000169,Apple Watch Series 7,wearable,0.0011,0.979,0.44,0.89,6.68,2026-04-09T13:06:58.941930,Chennai
DEV-000170,HP Pavilion 15,laptop,0.213,43.127,47.431,0.98,724.68,2026-04-09T13:06:58.941949,Mumbai
DEV-000171,MacBook Pro 13,laptop,0.4024,56.591,68.456,0.9,1051.55,2026-04-09T13:06:58.941967,Pune
DEV-000172,Sony A7IV,camera,0.1563,39.055,21.939,0.85,338.85,2026-04-09T13:06:58.941984,Chennai
DEV-000173,Apple Watch Series 7,wearable,0.0035,0.949,0.571,0.98,8.78,2026-04-09T13:06:58.942002,Ahmedabad
DEV-000174,Dell XPS 13,laptop,0.2173,41.859,45.917,0.98,702.21,2026-04-09T13:06:58.942021,Delhi
DEV-000175,iPhone 13,smartphone,0.039,10.856,4.222,0.96,65.78,2026-04-09T13:06:58.942038,Chennai
DEV-000176,MacBook Pro 13,laptop,0.4103,64.471,58.899,0.85,908.75,2026-04-09T13:06:58.942056,Kolkata
DEV-000177,AirPods Pro,earbuds,0.0072,1.27,0.566,0.84,8.93,2026-04-09T13:06:58.942074,Pune
DEV-000178,iPad Pro 11,tablet,0.1724,23.194,42.7,0.92,651.08,2026-04-09T13:06:58.942092,Ahmedabad
DEV-000179,Samsung Galaxy S21,smartphone,0.0293,12.63,4.269,0.91,65.92,2026-04-09T13:06:58.942110,Delhi
DEV-000180,Samsung Galaxy S22,smartphone,0.0277,10.94,4.937,0.85,75.83,2026-04-09T13:06:58.942128,Hyderabad
DEV-000181,Sony A7IV,camera,0.1366,24.561,26.348,0.87,403.66,2026-04-09T13:06:58.942145,Ahmedabad
DEV-000182,Canon EOS R5,camera,0.1788,23.324,18.663,0.86,290.91,2026-04-09T13:06:58.942164,Delhi
DEV-000183,ThinkPad T500,laptop,0.2793,46.617,50.921,0.92,781.04,2026-04-09T13:06:58.942181,Pune
DEV-000184,MacBook Air M1,laptop,0.3282,56.344,55.539,0.89,853.34,2026-04-09T13:06:58.942199,Hyderabad
DEV-000185,HP Pavilion 15,laptop,0.1958,49.632,35.671,0.88,547.31,2026-04-09T13:06:58.942216,Ahmedabad
DEV-000186,Apple Watch Series 7,wearable,0.0027,0.626,0.264,0.84,4.13,2026-04-09T13:06:58.942234,Kolkata
DEV-000187,Samsung Galaxy S22,smartphone,0.0292,10.959,3.837,0.91,59.42,2026-04-09T13:06:58.942252,Mumbai
DEV-000188,AirPods Pro,earbuds,0.006,0.739,0.738,0.84,11.44,2026-04-09T13:06:58.942269,Bangalore
DEV-000189,AirPods Pro,earbuds,0.0035,1.23,0.473,0.86,7.32,2026-04-09T13:06:58.942286,Kolkata
DEV-000190,Google Pixel 6,smartphone,0.0302,8.629,3.076,0.94,48.04,2026-04-09T13:06:58.942304,Kolkata
DEV-000191,iPhone 12,smartphone,0.0256,8.565,3.159,0.89,49.01,2026-04-09T13:06:58.942322,Hyderabad
DEV-000192,ThinkPad T480,laptop,0.1712,37.824,51.115,0.96,777.38,2026-04-09T13:06:58.942339,Ahmedabad
DEV-000193,Samsung Galaxy Tab S7,tablet,0.0992,17.575,33.047,0.96,501.83,2026-04-09T13:06:58.942356,Hyderabad
DEV-000194,iPhone 14,smartphone,0.0524,16.16,4.576,0.98,71.95,2026-04-09T13:06:58.942374,Bangalore
DEV-000195,ThinkPad T500,laptop,0.2949,52.625,52.253,0.94,802.02,2026-04-09T13:06:58.942391,Delhi
DEV-000196,MacBook Air M1,laptop,0.3838,73.289,57.956,0.9,893.1,2026-04-09T13:06:58.942409,Hyderabad
DEV-000197,HP Pavilion 15,laptop,0.2624,47.982,48.693,0.92,746.62,2026-04-09T13:06:58.942427,Pune
DEV-000198,iPad Air,tablet,0.1039,29.629,38.091,0.97,577.9,2026-04-09T13:06:58.942444,Pune
DEV-000199,iPhone 13,smartphone,0.0468,11.853,4.28,0.97,67.13,2026-04-09T13:06:58.942461,Hyderabad
DEV-000200,iPhone 14,smartphone,0.0464,14.673,3.58,0.94,56.63,2026-04-09T13:06:58.942479,Mumbai
DEV-000201,Sony WH-1000XM4,headphones,0.0115,3.655,1.123,0.83,17.57,2026-04-09T13:06:58.942496,Ahmedabad
DEV-000202,MacBook Air M1,laptop,0.2776,68.292,50.748,0.93,778.56,2026-04-09T13:06:58.942514,Pune
DEV-000203,MacBook Pro 13,laptop,0.3974,76.04,61.018,0.92,939.87,2026-04-09T13:06:58.942543,Kolkata
DEV-000204,Samsung Galaxy S21,smartphone,0.0317,7.709,3.705,0.84,57.55,2026-04-09T13:06:58.942562,Hyderabad
DEV-000205,iPhone 14,smartphone,0.0392,14.506,4.4,0.88,68.5,2026-04-09T13:06:58.942580,Delhi
DEV-000206,Samsung Galaxy S22,smartphone,0.0261,10.031,4.079,0.87,62.85,2026-04-09T13:06:58.942598,Ahmedabad
DEV-000207,Samsung Galaxy S21,smartphone,0.026,9.412,4.408,0.99,67.77,2026-04-09T13:06:58.942617,Chennai
DEV-000208,ThinkPad T490,laptop,0.3524,48.722,53.108,0.98,818.25,2026-04-09T13:06:58.942634,Pune
DEV-000209,ThinkPad T480,laptop,0.3291,62.737,54.713,0.87,841.07,2026-04-09T13:06:58.942652,Hyderabad
DEV-000210,Canon EOS R5,camera,0.115,36.154,26.343,0.83,402.41,2026-04-09T13:06:58.942670,Pune
DEV-000211,Google Pixel 6,smartphone,0.0319,8.907,3.647,0.84,56.71,2026-04-09T13:06:58.942688,Kolkata
DEV-000212,HP Pavilion 15,laptop,0.2664,52.104,38.718,0.95,597.28,2026-04-09T13:06:58.942705,Ahmedabad
DEV-000213,iPhone 12,smartphone,0.0362,14.075,3.592,0.85,56.19,2026-04-09T13:06:58.942724,Chennai
DEV-000214,iPhone 14,smartphone,0.0414,15.533,3.528,0.92,55.56,2026-04-09T13:06:58.942741,Mumbai
DEV-000215,Google Pixel 7,smartphone,0.0222,9.698,3.687,0.92,56.73,2026-04-09T13:06:58.942759,Chennai
DEV-000216,MacBook Air M1,laptop,0.235,49.908,55.849,0.9,852.33,2026-04-09T13:06:58.942777,Ahmedabad
DEV-000217,iPhone 14,smartphone,0.045,13.832,4.459,0.93,69.72,2026-04-09T13:06:58.942795,Ahmedabad
DEV-000218,iPhone 13,smartphone,0.0348,11.532,3.427,0.87,53.61,2026-04-09T13:06:58.942814,Mumbai
